Year,City,Sport,Athlete,Country,Gender,Medal
2012,London,Aquatics,"BOUDIA, David",USA,Men,Gold
2012,London,Aquatics,"QIU, Bo",CHN,Men,Silver
2012,London,Aquatics,"DALEY, Thomas",GBR,Men,Bronze
2012,London,Aquatics,"CHEN, Ruolin",CHN,Women,Gold
2012,London,Aquatics,"BROBEN, Brittany",AUS,Women,Silver
2012,London,Aquatics,"PAMG, Pandelela Rinong",MAS,Women,Bronze
2012,London,Aquatics,"ZAKHAROV, Ilya",RUS,Men,Gold
2012,London,Aquatics,"QIN, Kai",CHN,Men,Silver
2012,London,Aquatics,"HE, Chong",CHN,Men,Bronze
2012,London,Aquatics,"WU, Minxia",CHN,Women,Gold
2012,London,Aquatics,"HE, Zi",CHN,Women,Silver
2012,London,Aquatics,"SANCHEZ SOTO, Laura",MEX,Women,Bronze
2012,London,Aquatics,"CAO, Yuan",CHN,Men,Gold
2012,London,Aquatics,"ZHANG, Yanquan",CHN,Men,Gold
2012,London,Aquatics,"GARCIA NAVARRO, Ivan",MEX,Men,Silver
2012,London,Aquatics,"SANCHEZ, German",MEX,Men,Silver
2012,London,Aquatics,"BOUDIA, David",USA,Men,Bronze
2012,London,Aquatics,"MCCRORY, Nicholas",USA,Men,Bronze
2012,London,Aquatics,"CHEN, Ruolin",CHN,Women,Gold
2012,London,Aquatics,"WANG, Hao",CHN,Women,Gold
2012,London,Aquatics,"ESPINOSA, Paola",MEX,Women,Silver
2012,London,Aquatics,"OROZCO LOZA, Alejandra",MEX,Women,Silver
2012,London,Aquatics,"BENFEITO, Meaghan",CAN,Women,Bronze
2012,London,Aquatics,"FILION, Roseline",CAN,Women,Bronze
2012,London,Aquatics,"LUO, Yutong",CHN,Men,Gold
2012,London,Aquatics,"QIN, Kai",CHN,Men,Gold
2012,London,Aquatics,"KUZNETSOV, Evgeny",RUS,Men,Silver
2012,London,Aquatics,"ZAKHAROV, Ilya",RUS,Men,Silver
2012,London,Aquatics,"DUMAIS, Troy",USA,Men,Bronze
2012,London,Aquatics,"IPSEN, Kristian",USA,Men,Bronze
2012,London,Aquatics,"HE, Zi",CHN,Women,Gold
2012,London,Aquatics,"WU, Minxia",CHN,Women,Gold
2012,London,Aquatics,"BRYANT, Kelci",USA,Women,Silver
2012,London,Aquatics,"JOHNSTON, Abigail",USA,Women,Silver
2012,London,Aquatics,"ABEL, Jennifer",CAN,Women,Bronze
2012,London,Aquatics,"HEYMANS, Emilie",CAN,Women,Bronze
2012,London,Aquatics,"MELLOULI, Oussama",TUN,Men,Gold
2012,London,Aquatics,"LURZ, Thomas",GER,Men,Silver
2012,London,Aquatics,"WEINBERGER, Richard",CAN,Men,Bronze
2012,London,Aquatics,"RISZTOV, Eva",HUN,Women,Gold
2012,London,Aquatics,"ANDERSON, Haley",USA,Women,Silver
2012,London,Aquatics,"GRIMALDI, Martina",ITA,Women,Bronze
2012,London,Aquatics,"GREVERS, Matthew",USA,Men,Gold
2012,London,Aquatics,"THOMAN, Nick",USA,Men,Silver
2012,London,Aquatics,"IRIE, Ryosuke",JPN,Men,Bronze
2012,London,Aquatics,"FRANKLIN, Missy",USA,Women,Gold
2012,London,Aquatics,"SEEBOHM, Emily",AUS,Women,Silver
2012,London,Aquatics,"TERAKAWA, Aya",JPN,Women,Bronze
2012,London,Aquatics,"VAN DER BURGH, Cameron",RSA,Men,Gold
2012,London,Aquatics,"SPRENGER, Christian",AUS,Men,Silver
2012,London,Aquatics,"HANSEN, Brendan",USA,Men,Bronze
2012,London,Aquatics,"MEILUTYTE, Ruta",LTU,Women,Gold
2012,London,Aquatics,"SONI, Rebecca",USA,Women,Silver
2012,London,Aquatics,"SUZUKI, Satomi",JPN,Women,Bronze
2012,London,Aquatics,"PHELPS, Michael",USA,Men,Gold
2012,London,Aquatics,"KOROTYSHKIN, Evgeny",RUS,Men,Silver
2012,London,Aquatics,"LE CLOS, Chad",RSA,Men,Silver
2012,London,Aquatics,"VOLLMER, Dana",USA,Women,Gold
2012,London,Aquatics,"LU, Ying",CHN,Women,Silver
2012,London,Aquatics,"COUTTS, Alicia",AUS,Women,Bronze
2012,London,Aquatics,"ADRIAN, Nathan",USA,Men,Gold
2012,London,Aquatics,"MAGNUSSEN, James",AUS,Men,Silver
2012,London,Aquatics,"HAYDEN, Brent",CAN,Men,Bronze
2012,London,Aquatics,"KROMOWIDJOJO, Ranomi",NED,Women,Gold
2012,London,Aquatics,"GERASIMENYA, Aleksandra",BLR,Women,Silver
2012,London,Aquatics,"TANG, Yi",CHN,Women,Bronze
2012,London,Aquatics,"SUN, Yang",CHN,Men,Gold
2012,London,Aquatics,"COCHRANE, Ryan",CAN,Men,Silver
2012,London,Aquatics,"MELLOULI, Oussama",TUN,Men,Bronze
2012,London,Aquatics,"CLARY, Tyler",USA,Men,Gold
2012,London,Aquatics,"IRIE, Ryosuke",JPN,Men,Silver
2012,London,Aquatics,"LOCHTE, Ryan",USA,Men,Bronze
2012,London,Aquatics,"FRANKLIN, Missy",USA,Women,Gold
2012,London,Aquatics,"ZUEVA, Anastasia",RUS,Women,Silver
2012,London,Aquatics,"BEISEL, Elizabeth",USA,Women,Bronze
2012,London,Aquatics,"GYURTA, Daniel",HUN,Men,Gold
2012,London,Aquatics,"JAMIESON, Michael",GBR,Men,Silver
2012,London,Aquatics,"TATEISHI, Ryo",JPN,Men,Bronze
2012,London,Aquatics,"SONI, Rebecca",USA,Women,Gold
2012,London,Aquatics,"SUZUKI, Satomi",JPN,Women,Silver
2012,London,Aquatics,"EFIMOVA, Iuliia",RUS,Women,Bronze
2012,London,Aquatics,"LE CLOS, Chad",RSA,Men,Gold
2012,London,Aquatics,"PHELPS, Michael",USA,Men,Silver
2012,London,Aquatics,"MATSUDA, Takeshi",JPN,Men,Bronze
2012,London,Aquatics,"JIAO, Liuyang",CHN,Women,Gold
2012,London,Aquatics,"BELMONTE GARCIA, Mireia",ESP,Women,Silver
2012,London,Aquatics,"HOSHI, Natsumi",JPN,Women,Bronze
2012,London,Aquatics,"AGNEL, Yannick",FRA,Men,Gold
2012,London,Aquatics,"PARK, Taehwan",KOR,Men,Silver
2012,London,Aquatics,"SUN, Yang",CHN,Men,Silver
2012,London,Aquatics,"SCHMITT, Allison",USA,Women,Gold
2012,London,Aquatics,"MUFFAT, Camille",FRA,Women,Silver
2012,London,Aquatics,"BARRATT, Bronte",AUS,Women,Bronze
2012,London,Aquatics,"PHELPS, Michael",USA,Men,Gold
2012,London,Aquatics,"LOCHTE, Ryan",USA,Men,Silver
2012,London,Aquatics,"CSEH, Laszlo",HUN,Men,Bronze
2012,London,Aquatics,"YE, Shiwen",CHN,Women,Gold
2012,London,Aquatics,"COUTTS, Alicia",AUS,Women,Silver
2012,London,Aquatics,"LEVERENZ, Caitlin",USA,Women,Bronze
2012,London,Aquatics,"SUN, Yang",CHN,Men,Gold
2012,London,Aquatics,"PARK, Taehwan",KOR,Men,Silver
2012,London,Aquatics,"VANDERKAAY, Peter",USA,Men,Bronze
2012,London,Aquatics,"MUFFAT, Camille",FRA,Women,Gold
2012,London,Aquatics,"SCHMITT, Allison",USA,Women,Silver
2012,London,Aquatics,"ADLINGTON, Rebecca",GBR,Women,Bronze
2012,London,Aquatics,"LOCHTE, Ryan",USA,Men,Gold
2012,London,Aquatics,"PEREIRA, Thiago",BRA,Men,Silver
2012,London,Aquatics,"HAGINO, Kosuke",JPN,Men,Bronze
2012,London,Aquatics,"YE, Shiwen",CHN,Women,Gold
2012,London,Aquatics,"BEISEL, Elizabeth",USA,Women,Silver
2012,London,Aquatics,"LI, Xuanxu",CHN,Women,Bronze
2012,London,Aquatics,"AGNEL, Yannick",FRA,Men,Gold
2012,London,Aquatics,"BERNARD, Alain",FRA,Men,Gold
2012,London,Aquatics,"GILOT, Fabien",FRA,Men,Gold
2012,London,Aquatics,"LEFERT, Clement",FRA,Men,Gold
2012,London,Aquatics,"LEVEAUX, Amaury",FRA,Men,Gold
2012,London,Aquatics,"STRAVIUS, Jeremy",FRA,Men,Gold
2012,London,Aquatics,"ADRIAN, Nathan",USA,Men,Silver
2012,London,Aquatics,"BERENS, Ricky",USA,Men,Silver
2012,London,Aquatics,"FEIGEN, James",USA,Men,Silver
2012,London,Aquatics,"GREVERS, Matthew",USA,Men,Silver
2012,London,Aquatics,"JONES, Cullen",USA,Men,Silver
2012,London,Aquatics,"LEZAK, Jason",USA,Men,Silver
2012,London,Aquatics,"LOCHTE, Ryan",USA,Men,Silver
2012,London,Aquatics,"PHELPS, Michael",USA,Men,Silver
2012,London,Aquatics,"FESIKOV, Sergei",RUS,Men,Bronze
2012,London,Aquatics,"GRECHIN, Andrey",RUS,Men,Bronze
2012,London,Aquatics,"IZOTOV, Danila",RUS,Men,Bronze
2012,London,Aquatics,"LAGUNOV, Evgeny",RUS,Men,Bronze
2012,London,Aquatics,"LOBINTSEV, Nikita",RUS,Men,Bronze
2012,London,Aquatics,"MOROZOV, Vladimir",RUS,Men,Bronze
2012,London,Aquatics,"CAMPBELL, Cate",AUS,Women,Gold
2012,London,Aquatics,"COUTTS, Alicia",AUS,Women,Gold
2012,London,Aquatics,"ELMSLIE, Brittany",AUS,Women,Gold
2012,London,Aquatics,"KUKLA, Yolane",AUS,Women,Gold
2012,London,Aquatics,"SCHLANGER, Melanie",AUS,Women,Gold
2012,London,Aquatics,"SEEBOHM, Emily",AUS,Women,Gold
2012,London,Aquatics,"TRICKETT, Libby",AUS,Women,Gold
2012,London,Aquatics,"DEKKER, Inge",NED,Women,Silver
2012,London,Aquatics,"HEEMSKERK, Femke",NED,Women,Silver
2012,London,Aquatics,"KROMOWIDJOJO, Ranomi",NED,Women,Silver
2012,London,Aquatics,"SCHREUDER, Hinkelien",NED,Women,Silver
2012,London,Aquatics,"VELDHUIS, Marleen",NED,Women,Silver
2012,London,Aquatics,"COUGHLIN, Natalie",USA,Women,Bronze
2012,London,Aquatics,"FRANKLIN, Missy",USA,Women,Bronze
2012,London,Aquatics,"HARDY, Jessica",USA,Women,Bronze
2012,London,Aquatics,"NEAL, Lia",USA,Women,Bronze
2012,London,Aquatics,"SCHMITT, Allison",USA,Women,Bronze
2012,London,Aquatics,"WEIR, Amanda",USA,Women,Bronze
2012,London,Aquatics,"ADRIAN, Nathan",USA,Men,Gold
2012,London,Aquatics,"GREVERS, Matthew",USA,Men,Gold
2012,London,Aquatics,"HANSEN, Brendan",USA,Men,Gold
2012,London,Aquatics,"JONES, Cullen",USA,Men,Gold
2012,London,Aquatics,"MCGILL, Tyler",USA,Men,Gold
2012,London,Aquatics,"PHELPS, Michael",USA,Men,Gold
2012,London,Aquatics,"SHANTEAU, Eric",USA,Men,Gold
2012,London,Aquatics,"THOMAN, Nick",USA,Men,Gold
2012,London,Aquatics,"FUJII, Takuro",JPN,Men,Silver
2012,London,Aquatics,"IRIE, Ryosuke",JPN,Men,Silver
2012,London,Aquatics,"KITAJIMA, Kosuke",JPN,Men,Silver
2012,London,Aquatics,"MATSUDA, Takeshi",JPN,Men,Silver
2012,London,Aquatics,"DORSOGNA, Tommaso",AUS,Men,Bronze
2012,London,Aquatics,"MAGNUSSEN, James",AUS,Men,Bronze
2012,London,Aquatics,"RICKARD, Brenton",AUS,Men,Bronze
2012,London,Aquatics,"SPRENGER, Christian",AUS,Men,Bronze
2012,London,Aquatics,"STOECKEL, Hayden",AUS,Men,Bronze
2012,London,Aquatics,"TARGETT, Matt",AUS,Men,Bronze
2012,London,Aquatics,"BOOTSMA, Rachel",USA,Women,Gold
2012,London,Aquatics,"DONAHUE, Claire",USA,Women,Gold
2012,London,Aquatics,"FRANKLIN, Missy",USA,Women,Gold
2012,London,Aquatics,"HARDY, Jessica",USA,Women,Gold
2012,London,Aquatics,"LARSON, Breeja",USA,Women,Gold
2012,London,Aquatics,"SCHMITT, Allison",USA,Women,Gold
2012,London,Aquatics,"SONI, Rebecca",USA,Women,Gold
2012,London,Aquatics,"VOLLMER, Dana",USA,Women,Gold
2012,London,Aquatics,"COUTTS, Alicia",AUS,Women,Silver
2012,London,Aquatics,"ELMSLIE, Brittany",AUS,Women,Silver
2012,London,Aquatics,"JONES, Leisel",AUS,Women,Silver
2012,London,Aquatics,"SCHLANGER, Melanie",AUS,Women,Silver
2012,London,Aquatics,"SEEBOHM, Emily",AUS,Women,Silver
2012,London,Aquatics,"KATO, Yuka",JPN,Women,Bronze
2012,London,Aquatics,"SUZUKI, Satomi",JPN,Women,Bronze
2012,London,Aquatics,"TERAKAWA, Aya",JPN,Women,Bronze
2012,London,Aquatics,"UEDA, Haruka",JPN,Women,Bronze
2012,London,Aquatics,"BERENS, Ricky",USA,Men,Gold
2012,London,Aquatics,"DWYER, Conor",USA,Men,Gold
2012,London,Aquatics,"HOUCHIN, Charlie",USA,Men,Gold
2012,London,Aquatics,"LOCHTE, Ryan",USA,Men,Gold
2012,London,Aquatics,"MCLEAN, Matthew",USA,Men,Gold
2012,London,Aquatics,"PHELPS, Michael",USA,Men,Gold
2012,London,Aquatics,"TARWATER, Davis",USA,Men,Gold
2012,London,Aquatics,"AGNEL, Yannick",FRA,Men,Silver
2012,London,Aquatics,"LEFERT, Clement",FRA,Men,Silver
2012,London,Aquatics,"LEVEAUX, Amaury",FRA,Men,Silver
2012,London,Aquatics,"MALLET, Gregory",FRA,Men,Silver
2012,London,Aquatics,"STRAVIUS, Jeremy",FRA,Men,Silver
2012,London,Aquatics,"DAI, Jun",CHN,Men,Bronze
2012,London,Aquatics,"HAO, Yun",CHN,Men,Bronze
2012,London,Aquatics,"JIANG, Haiqi",CHN,Men,Bronze
2012,London,Aquatics,"LI, Yunqi",CHN,Men,Bronze
2012,London,Aquatics,"LU, Zhiwu",CHN,Men,Bronze
2012,London,Aquatics,"SUN, Yang",CHN,Men,Bronze
2012,London,Aquatics,"ANDERSON, Alyssa",USA,Women,Gold
2012,London,Aquatics,"FRANKLIN, Missy",USA,Women,Gold
2012,London,Aquatics,"PERDUE, Lauren",USA,Women,Gold
2012,London,Aquatics,"SCHMITT, Allison",USA,Women,Gold
2012,London,Aquatics,"VOLLMER, Dana",USA,Women,Gold
2012,London,Aquatics,"VREELAND, Shannon",USA,Women,Gold
2012,London,Aquatics,"BAINBRIDGE, Angie",AUS,Women,Silver
2012,London,Aquatics,"BARRATT, Bronte",AUS,Women,Silver
2012,London,Aquatics,"COUTTS, Alicia",AUS,Women,Silver
2012,London,Aquatics,"ELMSLIE, Brittany",AUS,Women,Silver
2012,London,Aquatics,"EVANS, Blair",AUS,Women,Silver
2012,London,Aquatics,"NEILSEN, Jade",AUS,Women,Silver
2012,London,Aquatics,"PALMER, Kylie",AUS,Women,Silver
2012,London,Aquatics,"SCHLANGER, Melanie",AUS,Women,Silver
2012,London,Aquatics,"BALMY, Coralie",FRA,Women,Bronze
2012,London,Aquatics,"BONNET, Charlotte",FRA,Women,Bronze
2012,London,Aquatics,"ETIENNE, Ophelie-Cyrielle",FRA,Women,Bronze
2012,London,Aquatics,"FARRELL, Margaux",FRA,Women,Bronze
2012,London,Aquatics,"LAZARE, Mylene",FRA,Women,Bronze
2012,London,Aquatics,"MUFFAT, Camille",FRA,Women,Bronze
2012,London,Aquatics,"MANAUDOU, Florent",FRA,Men,Gold
2012,London,Aquatics,"JONES, Cullen",USA,Men,Silver
2012,London,Aquatics,"CIELO FILHO, Cesar",BRA,Men,Bronze
2012,London,Aquatics,"KROMOWIDJOJO, Ranomi",NED,Women,Gold
2012,London,Aquatics,"GERASIMENYA, Aleksandra",BLR,Women,Silver
2012,London,Aquatics,"VELDHUIS, Marleen",NED,Women,Bronze
2012,London,Aquatics,"LEDECKY, Katie",USA,Women,Gold
2012,London,Aquatics,"BELMONTE GARCIA, Mireia",ESP,Women,Silver
2012,London,Aquatics,"ADLINGTON, Rebecca",GBR,Women,Bronze
2012,London,Aquatics,"ISHCHENKO, Natalia",RUS,Women,Gold
2012,London,Aquatics,"ROMASHINA, Svetlana",RUS,Women,Gold
2012,London,Aquatics,"CARBONELL BALLESTERO, Ona",ESP,Women,Silver
2012,London,Aquatics,"FUENTES FACHE, Andrea",ESP,Women,Silver
2012,London,Aquatics,"HUANG, Xuechen",CHN,Women,Bronze
2012,London,Aquatics,"LIU, Ou",CHN,Women,Bronze
2012,London,Aquatics,"DAVYDOVA, Anastasia",RUS,Women,Gold
2012,London,Aquatics,"GROMOVA, Maria",RUS,Women,Gold
2012,London,Aquatics,"ISHCHENKO, Natalia",RUS,Women,Gold
2012,London,Aquatics,"KHASYANOVA, Elvira",RUS,Women,Gold
2012,London,Aquatics,"KOROBOVA, Daria",RUS,Women,Gold
2012,London,Aquatics,"PATSKEVICH, Alexandra",RUS,Women,Gold
2012,London,Aquatics,"ROMASHINA, Svetlana",RUS,Women,Gold
2012,London,Aquatics,"SHISHKINA, Alla",RUS,Women,Gold
2012,London,Aquatics,"TIMANINA, Anzhelika",RUS,Women,Gold
2012,London,Aquatics,"CHANG, Si",CHN,Women,Silver
2012,London,Aquatics,"CHEN, Xiaojun",CHN,Women,Silver
2012,London,Aquatics,"HUANG, Xuechen",CHN,Women,Silver
2012,London,Aquatics,"JIANG, Tingting",CHN,Women,Silver
2012,London,Aquatics,"JIANG, Wenwen",CHN,Women,Silver
2012,London,Aquatics,"LIU, Ou",CHN,Women,Silver
2012,London,Aquatics,"LUO, Xi",CHN,Women,Silver
2012,London,Aquatics,"SUN, Wenyan",CHN,Women,Silver
2012,London,Aquatics,"WU, Yiwen",CHN,Women,Silver
2012,London,Aquatics,"BASIANA CANELLAS, Clara",ESP,Women,Bronze
2012,London,Aquatics,"CABELLO RODILLA, Alba",ESP,Women,Bronze
2012,London,Aquatics,"CARBONELL BALLESTERO, Ona",ESP,Women,Bronze
2012,London,Aquatics,"CRESPI JAUME, Margalida",ESP,Women,Bronze
2012,London,Aquatics,"FUENTES FACHE, Andrea",ESP,Women,Bronze
2012,London,Aquatics,"HENRIQUEZ TORRES, Thais",ESP,Women,Bronze
2012,London,Aquatics,"KLAMBURG ROQUE, Paula",ESP,Women,Bronze
2012,London,Aquatics,"MONTRUCCHIO BEAUS, Irene",ESP,Women,Bronze
2012,London,Aquatics,"PONS ARENAS, Laia",ESP,Women,Bronze
2012,London,Aquatics,"BARAC, Samir",CRO,Men,Gold
2012,London,Aquatics,"BOSKOVIC, Miho",CRO,Men,Gold
